short_name,long_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_name,club_position,club_jersey_number,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_curve,skill_ball_control,movement_agility,movement_reactions,power_shot_power,power_jumping,player_face_url,club_logo_url
P. Diop,Papa Kouli Diop,76,76,4300000.0,60000.0,28,180,73,Levante Unión Deportiva,RDM,23.0,Senegal,Right,66.0,62.0,71.0,68.0,74.0,82.0,62,69,73,75,77,81,82,https://cdn.sofifa.net/players/178/250/15_120.png,https://cdn.sofifa.net/teams/1853/60.png
Antunes,Vitorino Gabriel Pacheco Antunes,76,78,4900000.0,60000.0,27,175,69,Málaga CF,LB,5.0,Portugal,Left,84.0,67.0,74.0,73.0,73.0,74.0,70,81,76,79,74,86,64,https://cdn.sofifa.net/players/178/424/15_120.png,https://cdn.sofifa.net/teams/573/60.png
M. Sall,Moustapha Bayal Sall,76,76,4600000.0,80000.0,28,191,96,AS Saint-Étienne,LCB,26.0,Senegal,Right,52.0,54.0,57.0,51.0,78.0,85.0,50,58,58,34,70,57,64,https://cdn.sofifa.net/players/178/679/15_120.png,https://cdn.sofifa.net/teams/1819/60.png
Xavi Torres,Xavier Torres Buigues,76,79,4700000.0,60000.0,27,184,82,Real Betis Balompié,LDM,14.0,Spain,Right,54.0,58.0,75.0,66.0,69.0,77.0,61,55,75,61,74,76,62,https://cdn.sofifa.net/players/179/528/15_120.png,https://cdn.sofifa.net/teams/449/60.png
Y. Mulumbu,Youssouf Chafiq Mulumbu Ngangu,76,79,4700000.0,60000.0,27,175,76,West Bromwich Albion,SUB,21.0,Congo DR,Right,67.0,61.0,68.0,73.0,76.0,80.0,73,43,73,66,76,71,68,https://cdn.sofifa.net/players/179/544/15_120.png,https://cdn.sofifa.net/teams/109/60.png
M. Yanga-M'Biwa,Mapou Yanga-M'Biwa,76,81,5000000.0,70000.0,25,184,77,Roma,SUB,2.0,France,Right,76.0,39.0,57.0,63.0,75.0,80.0,62,32,63,62,78,51,81,https://cdn.sofifa.net/players/181/560/15_120.png,https://cdn.sofifa.net/teams/52/60.png
Koo Ja Cheol,구자철 具滋哲,76,81,6500000.0,60000.0,25,183,75,1. FSV Mainz 05,CAM,13.0,Korea Republic,Right,76.0,74.0,73.0,80.0,55.0,64.0,82,75,77,84,75,79,71,https://cdn.sofifa.net/players/182/152/15_120.png,https://cdn.sofifa.net/teams/169/60.png
Ricardo,Ricardo Jorge Novo Nunes,76,76,4700000.0,70000.0,31,188,84,FC Porto,SUB,24.0,Portugal,Right,,,,,,,25,25,25,48,76,36,74,https://cdn.sofifa.net/players/182/736/15_120.png,https://cdn.sofifa.net/teams/236/60.png
C. Sánchez,Carlos Alberto Sánchez Moreno,76,76,4300000.0,60000.0,28,182,82,Aston Villa,SUB,24.0,Colombia,Left,64.0,57.0,69.0,70.0,72.0,87.0,69,51,75,62,74,71,75,https://cdn.sofifa.net/players/182/882/15_120.png,https://cdn.sofifa.net/teams/2/60.png
J. Rodwell,Jack Rodwell,76,82,5000000.0,50000.0,23,188,71,Sunderland,LCM,8.0,England,Right,71.0,71.0,74.0,75.0,73.0,77.0,76,65,76,75,73,79,78,https://cdn.sofifa.net/players/183/465/15_120.png,https://cdn.sofifa.net/teams/106/60.png
E. Choupo-Moting,Jean-Eric Maxim Choupo-Moting,76,80,6000000.0,80000.0,25,191,87,FC Schalke 04,LM,13.0,Cameroon,Right,78.0,75.0,69.0,81.0,39.0,70.0,84,72,81,76,78,76,72,https://cdn.sofifa.net/players/183/569/15_120.png,https://cdn.sofifa.net/teams/34/60.png
I. Traoré,Ibrahima Traoré,76,79,6000000.0,60000.0,26,172,61,Borussia Mönchengladbach,LM,8.0,Guinea,Left,88.0,62.0,71.0,84.0,36.0,50.0,86,78,77,94,73,68,72,https://cdn.sofifa.net/players/183/909/15_120.png,https://cdn.sofifa.net/teams/23/60.png
M. Abdellaoue,Mohammed Abdellaoue,76,76,6000000.0,70000.0,28,182,80,VfB Stuttgart,SUB,25.0,Norway,Left,76.0,79.0,63.0,74.0,36.0,63.0,74,47,75,76,78,79,80,https://cdn.sofifa.net/players/184/010/15_120.png,https://cdn.sofifa.net/teams/36/60.png
S. Giovinco,Sebastian Giovinco,76,80,6000000.0,100000.0,27,164,59,Juventus,SUB,12.0,Italy,Right,91.0,70.0,79.0,85.0,28.0,52.0,84,86,86,93,74,59,33,https://cdn.sofifa.net/players/184/431/15_120.png,https://cdn.sofifa.net/teams/45/60.png
R. Alessandrini,Romain Alessandrini,76,80,6000000.0,80000.0,25,173,70,Olympique de Marseille,SUB,11.0,France,Left,91.0,77.0,70.0,79.0,32.0,56.0,77,66,75,91,78,78,62,https://cdn.sofifa.net/players/184/575/15_120.png,https://cdn.sofifa.net/teams/219/60.png
Á. Szalai,Ádám Szalai,76,80,6500000.0,70000.0,26,193,87,TSG Hoffenheim,ST,28.0,Hungary,Right,67.0,74.0,59.0,73.0,38.0,79.0,74,57,75,63,80,79,67,https://cdn.sofifa.net/players/184/789/15_120.png,https://cdn.sofifa.net/teams/10029/60.png
R. Neustädter,Roman Neustädter,76,79,5000000.0,90000.0,26,190,83,FC Schalke 04,LDM,33.0,Germany,Right,58.0,53.0,71.0,67.0,74.0,75.0,67,52,73,55,77,75,62,https://cdn.sofifa.net/players/186/296/15_120.png,https://cdn.sofifa.net/teams/34/60.png
L. Fer,Leroy Johan Fer,76,81,5500000.0,50000.0,24,188,79,Queens Park Rangers,RCM,10.0,Netherlands,Right,75.0,74.0,71.0,73.0,74.0,81.0,72,48,76,73,75,84,88,https://cdn.sofifa.net/players/186/351/15_120.png,https://cdn.sofifa.net/teams/15/60.png
C. Träsch,Christian Träsch,76,79,5500000.0,80000.0,26,180,75,VfL Wolfsburg,SUB,15.0,Germany,Right,72.0,60.0,72.0,70.0,74.0,78.0,68,64,73,64,76,83,72,https://cdn.sofifa.net/players/186/912/15_120.png,https://cdn.sofifa.net/teams/175/60.png
B. Ideye,Brown Ideye Aide,76,79,6500000.0,50000.0,25,181,78,West Bromwich Albion,ST,9.0,Nigeria,Right,83.0,77.0,59.0,72.0,38.0,73.0,73,47,67,84,75,78,83,https://cdn.sofifa.net/players/186/954/15_120.png,https://cdn.sofifa.net/teams/109/60.png
Henrique,Henrique Adriano Buss,76,77,4900000.0,80000.0,27,185,73,Napoli,SUB,4.0,Brazil,Right,64.0,45.0,54.0,65.0,79.0,78.0,64,51,70,61,65,67,69,https://cdn.sofifa.net/players/187/323/15_120.png,https://cdn.sofifa.net/teams/48/60.png
Maurício,Maurício dos Santos Nascimento,76,78,5000000.0,80000.0,25,185,83,Sporting CP,RCB,3.0,Brazil,Right,68.0,51.0,55.0,57.0,78.0,77.0,54,43,60,58,72,55,88,https://cdn.sofifa.net/players/187/324/15_120.png,https://cdn.sofifa.net/teams/237/60.png
C. Noboa,Christian Fernando Noboa Tello,76,76,3900000.0,70000.0,29,183,75,Dinamo Moscow,SUB,16.0,Ecuador,Right,73.0,67.0,79.0,76.0,74.0,76.0,75,75,81,77,69,61,79,https://cdn.sofifa.net/players/187/457/15_120.png,https://cdn.sofifa.net/teams/312/60.png
D. Tarasov,Dmitriy Tarasov,76,77,4700000.0,80000.0,27,192,84,FC Lokomotiv Moscow,SUB,23.0,Russia,Right,72.0,55.0,67.0,68.0,76.0,82.0,69,41,73,62,74,63,75,https://cdn.sofifa.net/players/187/659/15_120.png,https://cdn.sofifa.net/teams/100765/60.png
M. Isla,Mauricio Aníbal Isla Isla,76,78,6000000.0,60000.0,26,177,72,Queens Park Rangers,RB,14.0,Chile,Right,81.0,57.0,73.0,76.0,71.0,70.0,75,77,75,87,71,62,72,https://cdn.sofifa.net/players/187/800/15_120.png,https://cdn.sofifa.net/teams/15/60.png
Wanderson,Francisco Wanderson do Carmo Carneiro,76,76,6000000.0,70000.0,28,180,75,FC Krasnodar,ST,14.0,Brazil,Right,75.0,78.0,77.0,77.0,30.0,63.0,77,77,81,75,69,82,63,https://cdn.sofifa.net/players/187/896/15_120.png,https://cdn.sofifa.net/teams/112218/60.png
M. Suárez,Matías Ezequiel Suárez,76,78,6500000.0,100000.0,26,176,70,RSC Anderlecht,SUB,9.0,Argentina,Right,79.0,76.0,73.0,80.0,29.0,56.0,81,73,80,81,80,75,75,https://cdn.sofifa.net/players/188/042/15_120.png,https://cdn.sofifa.net/teams/229/60.png
B. Ecuélé Manga,Bruno Écuélé Manga,76,79,5000000.0,50000.0,25,186,76,Cardiff City,RCB,5.0,Gabon,Right,65.0,29.0,55.0,44.0,78.0,76.0,32,32,61,40,70,42,58,https://cdn.sofifa.net/players/188/270/15_120.png,https://cdn.sofifa.net/teams/1961/60.png
C. Diabaté,Cheick Tidiane Diabaté,76,78,6500000.0,80000.0,26,194,88,FC Girondins de Bordeaux,ST,14.0,Mali,Right,61.0,77.0,59.0,68.0,29.0,83.0,70,55,73,47,78,79,75,https://cdn.sofifa.net/players/188/325/15_120.png,https://cdn.sofifa.net/teams/59/60.png
M. Wakaso,Mubarak Wakaso,76,80,5000000.0,80000.0,23,171,72,Celtic,SUB,32.0,Ghana,Left,91.0,64.0,72.0,73.0,65.0,76.0,69,60,73,86,73,82,92,https://cdn.sofifa.net/players/188/337/15_120.png,https://cdn.sofifa.net/teams/78/60.png
T. Heurtaux,Thomas Marc Patrice Heurtaux,76,80,5000000.0,50000.0,25,184,78,Udinese Calcio,RCB,75.0,France,Right,67.0,42.0,48.0,55.0,80.0,73.0,49,39,59,60,75,59,78,https://cdn.sofifa.net/players/188/654/15_120.png,https://cdn.sofifa.net/teams/55/60.png
A. Mehmedi,Admir Mehmedi,76,80,5500000.0,50000.0,23,183,79,Sport-Club Freiburg,SUB,14.0,Switzerland,Right,75.0,76.0,70.0,80.0,38.0,72.0,81,72,78,81,75,78,60,https://cdn.sofifa.net/players/188/770/15_120.png,https://cdn.sofifa.net/teams/25/60.png
B. Dost,Bas Leon Dost,76,79,6500000.0,70000.0,25,196,78,VfL Wolfsburg,SUB,12.0,Netherlands,Right,60.0,77.0,50.0,59.0,38.0,74.0,53,34,69,59,77,80,60,https://cdn.sofifa.net/players/189/068/15_120.png,https://cdn.sofifa.net/teams/175/60.png
Daniel Carriço,Daniel Filipe Martins Carriço,76,79,4900000.0,60000.0,25,180,80,Sevilla FC,LCB,6.0,Portugal,Right,66.0,52.0,67.0,64.0,79.0,81.0,61,38,68,59,67,65,91,https://cdn.sofifa.net/players/189/156/15_120.png,https://cdn.sofifa.net/teams/481/60.png
S. Rudy,Sebastian Rudy,76,78,5500000.0,50000.0,24,179,73,TSG Hoffenheim,LDM,6.0,Germany,Right,71.0,66.0,76.0,78.0,66.0,66.0,77,76,78,81,77,68,66,https://cdn.sofifa.net/players/189/251/15_120.png,https://cdn.sofifa.net/teams/10029/60.png
Sílvio,Sílvio Manuel de Azevedo Ferreira Sá Pereira,76,78,5500000.0,90000.0,26,178,72,SL Benfica,SUB,28.0,Portugal,Right,76.0,62.0,70.0,75.0,74.0,72.0,74,79,76,76,74,78,75,https://cdn.sofifa.net/players/189/530/15_120.png,https://cdn.sofifa.net/teams/234/60.png
Éder,Éderzito António Macedo Lopes,76,80,6500000.0,80000.0,26,188,81,SC Braga,ST,17.0,Portugal,Right,78.0,74.0,67.0,75.0,44.0,82.0,75,73,76,76,75,80,74,https://cdn.sofifa.net/players/189/795/15_120.png,https://cdn.sofifa.net/teams/1896/60.png
C. Smalling,Chris Smalling,76,81,4900000.0,80000.0,24,192,81,Manchester United,SUB,12.0,England,Right,78.0,28.0,54.0,60.0,80.0,74.0,59,25,63,51,77,41,68,https://cdn.sofifa.net/players/189/881/15_120.png,https://cdn.sofifa.net/teams/11/60.png
Álvaro Domínguez,Álvaro Domínguez Soto,76,81,5000000.0,50000.0,25,189,83,Borussia Mönchengladbach,SUB,15.0,Spain,Left,66.0,31.0,62.0,61.0,76.0,79.0,59,65,64,59,75,48,72,https://cdn.sofifa.net/players/190/150/15_120.png,https://cdn.sofifa.net/teams/23/60.png
T. Jantschke,Tony Jantschke,76,79,4900000.0,50000.0,24,177,77,Borussia Mönchengladbach,LCB,24.0,Germany,Right,72.0,42.0,66.0,68.0,78.0,71.0,62,56,73,73,79,54,83,https://cdn.sofifa.net/players/190/520/15_120.png,https://cdn.sofifa.net/teams/23/60.png
A. Ljajić,Adem Ljajić,76,82,4500000.0,60000.0,22,182,74,Roma,SUB,8.0,Serbia,Right,80.0,74.0,72.0,81.0,35.0,61.0,82,79,83,82,69,75,68,https://cdn.sofifa.net/players/190/544/15_120.png,https://cdn.sofifa.net/teams/52/60.png
L. Kweuke,Léonard Kweuke,76,81,6500000.0,60000.0,26,189,94,Çaykur Rizespor,LS,9.0,Cameroon,Right,71.0,77.0,58.0,69.0,39.0,81.0,72,50,66,61,74,79,74,https://cdn.sofifa.net/players/190/582/15_120.png,https://cdn.sofifa.net/teams/101037/60.png
F. Montero,Fredy Henkyer Montero Muñoz,76,79,6500000.0,100000.0,26,176,74,Sporting CP,SUB,10.0,Colombia,Right,76.0,77.0,75.0,80.0,37.0,64.0,78,81,83,84,74,77,78,https://cdn.sofifa.net/players/190/919/15_120.png,https://cdn.sofifa.net/teams/237/60.png
O. Alonso,Osvaldo Alonso Moreno,76,76,4300000.0,60000.0,28,180,75,Seattle Sounders FC,RCM,6.0,Cuba,Right,82.0,61.0,67.0,72.0,75.0,81.0,71,65,73,72,73,83,80,https://cdn.sofifa.net/players/190/971/15_120.png,https://cdn.sofifa.net/teams/111144/60.png
P. Morales,Pedro Andrés Morales Flores,76,76,5500000.0,30000.0,29,180,77,Vancouver Whitecaps FC,SUB,77.0,Chile,Right,69.0,75.0,77.0,75.0,30.0,50.0,74,81,78,79,72,81,67,https://cdn.sofifa.net/players/191/725/15_120.png,https://cdn.sofifa.net/teams/101112/60.png
N. Al Shamrani,Nasser Ali Al Shamrani,76,76,5000000.0,80000.0,30,175,73,Al Hilal,LS,15.0,Saudi Arabia,Right,86.0,76.0,60.0,70.0,32.0,71.0,68,60,70,77,83,73,71,https://cdn.sofifa.net/players/191/834/15_120.png,https://cdn.sofifa.net/teams/605/60.png
L. Sané,Ludovic Lamine Sané,76,78,4900000.0,80000.0,27,192,77,FC Girondins de Bordeaux,RCB,6.0,Senegal,Right,71.0,43.0,62.0,65.0,76.0,79.0,66,47,68,56,74,70,77,https://cdn.sofifa.net/players/192/333/15_120.png,https://cdn.sofifa.net/teams/59/60.png
D. Subašić,Danijel Subašić,76,76,5500000.0,50000.0,29,191,84,AS Monaco,GK,1.0,Croatia,Right,,,,,,,25,48,25,42,74,54,75,https://cdn.sofifa.net/players/192/593/15_120.png,https://cdn.sofifa.net/teams/69/60.png
Iago Aspas,Iago Aspas Juncal,76,80,6500000.0,80000.0,26,176,67,Sevilla FC,SUB,14.0,Spain,Left,82.0,74.0,72.0,81.0,30.0,59.0,81,83,79,92,81,67,68,https://cdn.sofifa.net/players/192/629/15_120.png,https://cdn.sofifa.net/teams/481/60.png
A. Nyom,Allan-Roméo Nyom,76,77,5500000.0,30000.0,26,189,81,Granada CF,RB,2.0,Cameroon,Right,80.0,44.0,62.0,70.0,75.0,84.0,76,67,71,50,72,75,57,https://cdn.sofifa.net/players/192/667/15_120.png,https://cdn.sofifa.net/teams/110832/60.png
K. Manolas,Konstantinos Manolas,76,80,4400000.0,60000.0,23,186,79,Roma,RCB,44.0,Greece,Right,79.0,27.0,45.0,58.0,78.0,80.0,54,30,60,67,68,43,85,https://cdn.sofifa.net/players/192/774/15_120.png,https://cdn.sofifa.net/teams/52/60.png
I. Gueye,Idrissa Gana Gueye,76,83,4700000.0,60000.0,24,174,66,LOSC Lille,LCM,5.0,Senegal,Right,70.0,54.0,67.0,72.0,75.0,75.0,69,32,75,73,77,80,76,https://cdn.sofifa.net/players/193/474/15_120.png,https://cdn.sofifa.net/teams/65/60.png
S. Caulker,Steven Caulker,76,82,3800000.0,45000.0,22,191,77,Queens Park Rangers,RCB,4.0,England,Right,75.0,31.0,55.0,60.0,77.0,78.0,55,58,65,64,73,41,74,https://cdn.sofifa.net/players/193/504/15_120.png,https://cdn.sofifa.net/teams/15/60.png
Mário Fernandes,Mário Figueira Fernandes,76,83,4400000.0,80000.0,23,187,80,PFC CSKA Moscow,RB,2.0,Brazil,Right,81.0,56.0,65.0,68.0,78.0,76.0,63,42,73,79,72,71,78,https://cdn.sofifa.net/players/193/525/15_120.png,https://cdn.sofifa.net/teams/315/60.png
G. Medel,Gary Alexis Medel Soto,76,77,5000000.0,90000.0,26,171,76,Inter,CDM,18.0,Chile,Right,76.0,65.0,61.0,67.0,78.0,86.0,61,40,73,63,81,72,89,https://cdn.sofifa.net/players/193/532/15_120.png,https://cdn.sofifa.net/teams/44/60.png
Rômulo,Rômulo Souza Orestes Caldeira,76,81,5500000.0,90000.0,27,178,72,Juventus,SUB,2.0,Italy,Right,83.0,63.0,73.0,78.0,69.0,72.0,78,61,78,78,76,74,66,https://cdn.sofifa.net/players/193/839/15_120.png,https://cdn.sofifa.net/teams/45/60.png
Portillo,Francisco Portillo Soler,76,77,5500000.0,50000.0,24,169,63,Málaga CF,SUB,8.0,Spain,Right,75.0,59.0,74.0,79.0,26.0,57.0,77,63,82,79,77,63,63,https://cdn.sofifa.net/players/193/844/15_120.png,https://cdn.sofifa.net/teams/573/60.png
A. Potuk,Alper Potuk,76,82,5500000.0,80000.0,23,177,67,Fenerbahçe SK,SUB,26.0,Turkey,Right,83.0,68.0,72.0,81.0,66.0,62.0,82,62,80,81,80,68,70,https://cdn.sofifa.net/players/194/079/15_120.png,https://cdn.sofifa.net/teams/326/60.png
Y. Nagatomo,長友 佑都,76,76,5500000.0,90000.0,27,170,68,Inter,RM,55.0,Japan,Right,87.0,54.0,72.0,75.0,72.0,69.0,70,67,74,91,75,70,77,https://cdn.sofifa.net/players/194/359/15_120.png,https://cdn.sofifa.net/teams/44/60.png
Neto,Norberto Murara Neto,76,81,5000000.0,60000.0,24,191,83,Fiorentina,GK,1.0,Brazil,Right,,,,,,,25,25,20,54,74,37,78,https://cdn.sofifa.net/players/194/404/15_120.png,https://cdn.sofifa.net/teams/110374/60.png
Adrián,Adrián San Miguel del Castillo,76,78,5000000.0,60000.0,27,188,77,West Ham United,GK,13.0,Spain,Right,,,,,,,25,25,22,47,70,39,69,https://cdn.sofifa.net/players/194/911/15_120.png,https://cdn.sofifa.net/teams/19/60.png
D. Caligiuri,Daniel Caligiuri,76,78,6000000.0,80000.0,26,182,79,VfL Wolfsburg,RM,7.0,Germany,Right,83.0,70.0,71.0,81.0,32.0,70.0,83,76,78,79,76,76,74,https://cdn.sofifa.net/players/197/083/15_120.png,https://cdn.sofifa.net/teams/175/60.png
Pizzi,Luís Miguel Afonso Fernandes,76,79,6000000.0,80000.0,24,172,65,SL Benfica,SUB,21.0,Portugal,Right,82.0,73.0,72.0,79.0,32.0,56.0,78,74,79,80,78,78,67,https://cdn.sofifa.net/players/197/965/15_120.png,https://cdn.sofifa.net/teams/234/60.png
M. Perin,Mattia Perin,76,85,3900000.0,60000.0,21,188,74,Genoa,GK,1.0,Italy,Right,,,,,,,25,25,24,70,77,37,75,https://cdn.sofifa.net/players/198/009/15_120.png,https://cdn.sofifa.net/teams/110556/60.png
P. Herrmann,Patrick Herrmann,76,80,5000000.0,50000.0,23,179,70,Borussia Mönchengladbach,SUB,7.0,Germany,Right,91.0,68.0,71.0,79.0,31.0,57.0,81,74,72,88,76,75,69,https://cdn.sofifa.net/players/198/077/15_120.png,https://cdn.sofifa.net/teams/23/60.png
M. Höger,Marco Höger,76,81,4700000.0,80000.0,24,182,83,FC Schalke 04,RB,12.0,Germany,Right,66.0,69.0,74.0,74.0,75.0,80.0,73,74,78,68,75,78,73,https://cdn.sofifa.net/players/198/113/15_120.png,https://cdn.sofifa.net/teams/34/60.png
Marc Bartra,Marc Bartra Aregall,76,81,4400000.0,80000.0,23,183,70,FC Barcelona,SUB,15.0,Spain,Right,70.0,45.0,62.0,63.0,80.0,69.0,59,55,67,67,74,57,85,https://cdn.sofifa.net/players/198/141/15_120.png,https://cdn.sofifa.net/teams/241/60.png
B. Stambouli,Benjamin Stambouli,76,80,4100000.0,60000.0,23,180,80,Tottenham Hotspur,SUB,25.0,France,Right,66.0,59.0,66.0,69.0,75.0,76.0,64,46,75,79,74,64,71,https://cdn.sofifa.net/players/198/200/15_120.png,https://cdn.sofifa.net/teams/18/60.png
P. Wollscheid,Philipp Wollscheid,76,79,5000000.0,50000.0,25,194,88,1. FSV Mainz 05,SUB,3.0,Germany,Right,51.0,39.0,49.0,40.0,78.0,78.0,32,28,47,46,76,56,59,https://cdn.sofifa.net/players/198/202/15_120.png,https://cdn.sofifa.net/teams/169/60.png
B. Natkho,Bibars Natkho,76,80,5000000.0,90000.0,26,175,73,PFC CSKA Moscow,LDM,66.0,Israel,Right,72.0,67.0,79.0,78.0,68.0,71.0,77,74,80,77,74,69,61,https://cdn.sofifa.net/players/198/648/15_120.png,https://cdn.sofifa.net/teams/315/60.png
V. Aboubakar,Vincent Paté Aboubakar,76,80,5000000.0,70000.0,22,184,82,FC Porto,SUB,99.0,Cameroon,Right,85.0,77.0,56.0,71.0,30.0,70.0,69,59,74,76,75,82,72,https://cdn.sofifa.net/players/199/069/15_120.png,https://cdn.sofifa.net/teams/236/60.png
J. Clasie,Jordy Clasie,76,81,5000000.0,80000.0,23,169,68,Feyenoord,CDM,6.0,Netherlands,Right,68.0,64.0,76.0,75.0,65.0,72.0,70,77,80,75,77,76,66,https://cdn.sofifa.net/players/199/422/15_120.png,https://cdn.sofifa.net/teams/246/60.png
A. Lopes,Anthony Lopes,76,80,4500000.0,80000.0,23,184,81,Olympique Lyonnais,GK,1.0,Portugal,Left,,,,,,,25,25,25,39,71,35,85,https://cdn.sofifa.net/players/199/482/15_120.png,https://cdn.sofifa.net/teams/66/60.png
G. Xhaka,Granit Xhaka,76,83,4500000.0,45000.0,21,185,82,Borussia Mönchengladbach,LCM,34.0,Switzerland,Left,49.0,62.0,76.0,74.0,65.0,73.0,76,68,76,61,77,82,44,https://cdn.sofifa.net/players/199/503/15_120.png,https://cdn.sofifa.net/teams/23/60.png
M. van Ginkel,Marco van Ginkel,76,84,4500000.0,70000.0,21,186,82,AC Milan,SUB,21.0,Netherlands,Right,77.0,71.0,74.0,75.0,62.0,74.0,74,66,79,74,78,68,77,https://cdn.sofifa.net/players/199/767/15_120.png,https://cdn.sofifa.net/teams/47/60.png
H. Son,손흥민 孙兴慜,76,81,4500000.0,70000.0,21,183,76,Bayer 04 Leverkusen,LM,7.0,Korea Republic,Left,86.0,78.0,67.0,77.0,29.0,58.0,79,78,75,78,76,78,68,https://cdn.sofifa.net/players/200/104/15_120.png,https://cdn.sofifa.net/teams/32/60.png
Casemiro,Carlos Henrique Venancio Casimiro,76,80,3600000.0,70000.0,22,184,80,FC Porto,CDM,6.0,Brazil,Right,66.0,66.0,71.0,69.0,73.0,79.0,68,52,72,67,72,83,85,https://cdn.sofifa.net/players/200/145/15_120.png,https://cdn.sofifa.net/teams/236/60.png
L. Digne,Lucas Digne,76,83,3800000.0,70000.0,20,178,74,Paris Saint-Germain,SUB,21.0,France,Left,80.0,51.0,71.0,72.0,74.0,73.0,69,67,76,72,75,66,75,https://cdn.sofifa.net/players/200/458/15_120.png,https://cdn.sofifa.net/teams/73/60.png
M. Dević,Marko Dević,76,76,5000000.0,70000.0,30,185,76,Rubin Kazan,SUB,11.0,Ukraine,Right,79.0,76.0,67.0,73.0,36.0,66.0,76,69,69,76,73,76,79,https://cdn.sofifa.net/players/200/643/15_120.png,https://cdn.sofifa.net/teams/110227/60.png
J. Iličić,Josip Iličić,76,77,6500000.0,80000.0,26,190,79,Fiorentina,SUB,72.0,Slovenia,Left,72.0,74.0,79.0,76.0,39.0,65.0,79,80,84,62,71,85,34,https://cdn.sofifa.net/players/200/647/15_120.png,https://cdn.sofifa.net/teams/110374/60.png
Cédric,Cédric Ricardo Alves Soares,76,80,3800000.0,70000.0,22,172,67,Sporting CP,SUB,41.0,Portugal,Right,82.0,67.0,71.0,76.0,74.0,73.0,75,65,75,76,75,83,73,https://cdn.sofifa.net/players/201/118/15_120.png,https://cdn.sofifa.net/teams/237/60.png
M. Badelj,Milan Badelj,76,79,6000000.0,70000.0,25,186,76,Fiorentina,SUB,5.0,Croatia,Right,50.0,61.0,76.0,76.0,69.0,67.0,77,74,79,71,77,70,56,https://cdn.sofifa.net/players/201/144/15_120.png,https://cdn.sofifa.net/teams/110374/60.png
M. Icardi,Mauro Emanuel Icardi Rivero,76,86,5000000.0,70000.0,21,181,75,Inter,RS,9.0,Argentina,Right,79.0,75.0,51.0,71.0,30.0,69.0,68,57,74,76,74,73,89,https://cdn.sofifa.net/players/201/399/15_120.png,https://cdn.sofifa.net/teams/44/60.png
L. Kurzawa,Layvin Kurzawa,76,85,3800000.0,40000.0,21,182,73,AS Monaco,LB,3.0,France,Left,79.0,63.0,73.0,74.0,75.0,73.0,72,66,77,75,77,68,74,https://cdn.sofifa.net/players/201/510/15_120.png,https://cdn.sofifa.net/teams/69/60.png
J. Geis,Johannes Geis,76,82,3600000.0,35000.0,20,181,81,1. FSV Mainz 05,RDM,6.0,Germany,Right,65.0,65.0,77.0,73.0,73.0,77.0,70,81,76,72,76,85,83,https://cdn.sofifa.net/players/202/087/15_120.png,https://cdn.sofifa.net/teams/169/60.png
Jesé Rodríguez,Jesé Rodríguez Ruíz,76,83,4500000.0,70000.0,21,178,73,Real Madrid CF,SUB,20.0,Spain,Right,87.0,73.0,71.0,83.0,27.0,55.0,84,73,85,89,68,75,71,https://cdn.sofifa.net/players/202/515/15_120.png,https://cdn.sofifa.net/teams/243/60.png
Fernando,Fernando Lucas Martins,76,84,3600000.0,70000.0,22,174,66,Shakhtar Donetsk,RDM,17.0,Brazil,Right,78.0,66.0,71.0,69.0,77.0,78.0,63,68,73,80,72,72,81,https://cdn.sofifa.net/players/202/642/15_120.png,https://cdn.sofifa.net/teams/101059/60.png
Lucas Piazon,Gustavo Lucas Domingues Piazón,76,86,4500000.0,40000.0,20,182,75,Eintracht Frankfurt,LM,19.0,Brazil,Right,75.0,72.0,74.0,81.0,29.0,59.0,83,74,86,74,67,66,44,https://cdn.sofifa.net/players/203/038/15_120.png,https://cdn.sofifa.net/teams/1824/60.png
T. Hazard,Thorgan Hazard,76,84,5000000.0,45000.0,21,174,69,Borussia Mönchengladbach,SUB,26.0,Belgium,Right,73.0,73.0,76.0,76.0,32.0,63.0,76,73,77,77,76,73,64,https://cdn.sofifa.net/players/203/486/15_120.png,https://cdn.sofifa.net/teams/23/60.png
A. Florenzi,Alessandro Florenzi,76,82,5500000.0,70000.0,23,173,67,Roma,RW,24.0,Italy,Right,80.0,75.0,72.0,77.0,64.0,69.0,75,69,78,85,77,77,74,https://cdn.sofifa.net/players/203/551/15_120.png,https://cdn.sofifa.net/teams/52/60.png
Rubén Pardo,Rubén Pardo Gutiérrez,76,82,4500000.0,60000.0,21,182,68,Real Sociedad,SUB,14.0,Spain,Right,66.0,62.0,79.0,77.0,57.0,60.0,75,77,81,76,78,78,65,https://cdn.sofifa.net/players/204/523/15_120.png,https://cdn.sofifa.net/teams/457/60.png
Jorginho,Luiz Frello Filho Jorge,76,85,3600000.0,60000.0,22,180,65,Napoli,RDM,8.0,Italy,Right,79.0,66.0,79.0,78.0,69.0,67.0,76,79,82,82,77,70,61,https://cdn.sofifa.net/players/205/498/15_120.png,https://cdn.sofifa.net/teams/48/60.png
